id,releasedate,title,genre,budget,revenue,year,has_trailer
267,2015-11-13,The 33,Drama,"$25,000,000","$12,227,722",2015,True
268,2011-05-20,35 and Ticking,Romantic Comedy,,"$113,804",2011,False
269,2009-09-18,35 Rhums,Drama,,"$177,511",2009,False
270,2010-12-31,36,Thriller/Suspense,,$0,2010,False
271,2011-12-31,36,Drama,,$0,2011,False
272,2013-09-06,36 Saints,Thriller/Suspense,,$0,2013,False
273,2015-12-31,36 Vayadhinile,Drama,,$0,2015,False
274,2010-07-09,36 vues du Pic Saint Loup,Comedy,,"$33,216",2010,False
275,2012-08-03,360,Thriller/Suspense,,"$100,343",2012,False
276,2015-12-31,3688,,,$0,2015,False
277,2016-10-07,37,Drama,,$0,2016,False
278,1986-11-07,37°2 le matin,Drama,,"$12,013",1986,False
279,2011-12-31,The 39 Clues,Adventure,,$0,2011,False
280,2005-11-23,39 Pounds of Love,Documentary,,"$28,125",2005,False
281,1993-08-15,The 39 Steps,,,$0,1993,False
282,2011-06-07,3D Aquarium,Documentary,,$0,2011,False
283,2012-05-29,3D Mystic Mountains,Documentary,,$0,2012,False
284,2011-08-12,3D Sex and Zen: Extreme Ecstasy,Comedy,,"$152,365",2011,False
285,2008-12-31,3D Sun,Documentary,,$0,2008,False
286,2006-04-07,4,Drama,,"$18,926",2006,False
287,2012-07-31,4.3.2.1,,,$0,2012,False
288,2012-03-23,4:44 Last Day on Earth,Drama,,"$17,801",2012,False
289,2011-07-20,4 aventures de Reinette et Mirabelle,Comedy,,"$20,589",2011,False
290,1997-07-09,4 Little Girls,Documentary,,"$218,444",1997,False
291,2008-01-25,"4 luni, 3 saptamani si 2 zile",Drama,"$900,000","$1,196,321",2008,False
292,2014-08-01,4 Minute Mile,Drama,,$0,2014,False
293,2013-08-16,Les 4 soldats,Drama,,"$33,912",2013,False
294,2002-03-01,40 Days and 40 Nights,Romantic Comedy,"$17,000,000","$37,939,782",2002,False
295,2012-12-31,40 Point Plan,,,$0,2012,False
296,2014-12-31,40 Weeks,Documentary,"$900,000",$0,2014,False
297,2005-08-19,The 40 Year-old Virgin,Comedy,"$26,000,000","$109,449,237",2005,False
298,2009-12-31,The 41 Year Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,Comedy,"$1,300,000",$0,2009,False
299,2016-05-03,400 Days,Thriller/Suspense,,$0,2016,False
300,2012-12-11,41,Documentary,,$0,2012,False
301,2010-06-08,The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,,,$0,2010,False
302,2015-12-31,4/11,Action,"$250,000",$0,2015,False
303,2013-04-12,42,Drama,"$40,000,000","$95,020,213",2013,True
304,1999-11-17,42: Forty Two Up,Documentary,,"$300,680",1999,False
305,1933-03-09,42nd Street,Musical,"$439,000","$1,438,000",1933,False
306,2010-01-15,44 Inch Chest,,,"$39,033",2010,False
307,2011-12-31,442nd,Drama,,$0,2011,False
308,2015-12-23,45 Years,Drama,,"$4,250,507",2015,False
309,2010-02-26,45365,Documentary,,"$1,909",2010,False
310,2017-06-16,47 Meters Down,Horror,,"$23,914,194",2017,True
311,2013-12-25,47 Ronin,Action,"$175,000,000","$38,362,475",2013,True
312,2014-05-30,47 to 84 - Hun Main Kisnu Watan Kahunga,Drama,,$0,2014,False
313,2008-12-31,48 heures par jour,,,$0,2008,False
314,1982-12-08,48 Hrs.,Action,,"$75,936,265",1982,False
315,2006-10-06,49 Up,Documentary,,"$241,772",2006,False
316,2015-10-06,4Got10,Action,,$0,2015,False
317,2017-12-31,4N1K,Romantic Comedy,,$0,2017,False
318,2002-11-22,The 4th Tenor,Comedy,,"$2,152",2002,False
319,2017-07-21,The 4th,,,$0,2017,False
