imdbid,bech-title,bech-rating,imdb-Title,imdb-Year,key
209475,"Wedding Planner, The",3,The Wedding Planner,2001,wedding01nner
230600,"Others, The",3,The Others,2001,others01hers
245429,Spirited Away,3,Spirited Away,2001,#N/A
256524,"Curse of the Jade Scorpion, The",3,The Curse of the Jade Scorpion,2001,curseof01pion
264508,Dagon,3,Dagon,2001,dagon01agon
301429,Volcano High,3,Hwasango,2001,hwasang01ango
163025,Jurassic Park III,2,Jurassic Park III,2001,jurassi01kiii
256009,El Espinazo del Diablo,1,The Devil's Backbone,2001,elespin01ablo
159273,Behind Enemy Lines,0,Behind Enemy Lines,2001,behinde01ines
257106,Scary Movie 2,3,Scary Movie 2,2001,scarymo01vie2
348225,Tomie: Re-birth,3,Tomie: Re-birth,2001,tomie:r01irth
245046,Charlotte Gray,3,Charlotte Gray,2001,charlot01gray
244970,Someone Like You...,3,Someone Like You...,2001,someone01eyou
275913,Amazons and Gladiators,3,Amazons and Gladiators,2001,amazons01tors
126029,Shrek,1,Shrek,2001,shrek01hrek
268978,A Beautiful Mind,1,A Beautiful Mind,2001,beautif01mind
166924,Mulholland Dr.,3,Mulholland Drive,2001,mulholl01ddr.
192023,Finder's Fee,1,Finder's Fee,2001,finder'01sfee
242587,L.I.E.,1,L.I.E.,2001,l.i.e.01i.e.
221027,Blow,1,Blow,2001,blow01blow
162346,Ghost World,3,Ghost World,2001,ghostwo01orld
169102,Lagaan - Once Upon a Time in India,3,Lagaan: Once Upon a Time in India,2001,lagaan:01ndia
282771,"Mystic Masseur, The",2,The Mystic Masseur,2001,mysticm01seur
211915,Amelie,3,Amélie,2001,#N/A
286112,Shaolin Soccer,0,Shaolin Soccer,2001,#N/A
247745,Super Troopers,1,Super Troopers,2001,supertr01pers
180679,Escanaba in da Moonlight,0,Escanaba in da Moonlight,2001,escanab01ight
312843,Suicide Club,3,Suicide Club,2001,suicide10club
240890,Serendipity,3,Serendipity,2001,serendi01pity
219822,Human Nature,3,Human Nature,2001,humanna01ture
246772,Mostly Martha,3,Mostly Martha,2001,#N/A
212720,Artificial Intelligence: AI,1,A.I. Artificial Intelligence,2001,artific01e:ai
263725,Me Without You,3,Me Without You,2001,mewitho01tyou
