key,title,studio,totalgross,totaltheaters,openinggross,openingtheaters,boxofficemojo_url,release_date
dogdays07mmer,Dog Days of Summer,MTop,5383.0,1.0,2973.0,1.0,http://www.boxofficemojo.com/movies/?id=dogdaysofsummer.htm,2008-04-18
dogi13dogi,The Dog,Drft.,44581.0,16.0,12431.0,3.0,http://www.boxofficemojo.com/movies/?id=thedog.htm,2014-08-08
doglove06hony,Dog Lover's Symphony,DogL,2968.0,2.0,1442.0,2.0,http://www.boxofficemojo.com/movies/?id=dogloverssymphony.htm,2006-06-16
doglove16over,The Dog Lover,ESX,,,,,http://www.boxofficemojo.com/movies/?id=thedoglover.htm,2016-07-08
dogprob06blem,The Dog Problem,Think,1344.0,2.0,914.0,2.0,http://www.boxofficemojo.com/movies/?id=thedogproblem.htm,2007-04-27
dogtown01boys,Dogtown and Z-Boys,SPC,1300682.0,70.0,103355.0,20.0,http://www.boxofficemojo.com/movies/?id=dogtownandz-boys.htm,2002-04-26
dogvill03ille,Dogville,Lions,1535286.0,70.0,88855.0,9.0,http://www.boxofficemojo.com/movies/?id=dogville.htm,2004-03-26
dogwalk02lker,The Dogwalker,Truly,4604.0,12.0,2850.0,2.0,http://www.boxofficemojo.com/movies/?id=thedogwalker.htm,2006-09-08
dogwalk99lker,The Dogwalker (2002),Outr.,7420.0,1.0,4726.0,1.0,http://www.boxofficemojo.com/movies/?id=thedogwalker(2002).htm,2002-09-13
dogwedd15ding,The Dog Wedding,25th Frame,29495.0,2.0,12132.0,1.0,http://www.boxofficemojo.com/movies/?id=thedogwedding.htm,2016-03-11
doingti97line,Doing Time for Patsy Cline,Oilr.,831.0,1.0,831.0,1.0,http://www.boxofficemojo.com/movies/?id=doingtimeforpatsycline.htm,2006-03-03
doisoun14gay?,Do I Sound Gay?,IFC,119388.0,18.0,10461.0,1.0,http://www.boxofficemojo.com/movies/?id=doisoundgay?.htm,2015-07-10
doknotd09turb,Do Knot Disturb,AdL.,213525.0,57.0,124691.0,57.0,http://www.boxofficemojo.com/movies/?id=doknotdisturb.htm,2009-10-02
dolls02olls,Dolls,Palm,4067.0,1.0,2067.0,1.0,http://www.boxofficemojo.com/movies/?id=dolls.htm,2004-12-10
dolphin08an3d,Dolphins and Whales: Tribes of the Ocean 3D,3D,7714996.0,42.0,41695.0,4.0,http://www.boxofficemojo.com/movies/?id=dolphinsandwhalestribesoftheocean3d.htm,2008-02-15
dolphin11tale,Dolphin Tale,WB,72286779.0,3515.0,19152401.0,3507.0,http://www.boxofficemojo.com/movies/?id=dolphintale.htm,2011-09-23
dolphin14ale2,Dolphin Tale 2,WB,42024533.0,3656.0,15873397.0,3656.0,http://www.boxofficemojo.com/movies/?id=dolphintale2.htm,2014-09-12
domaine09aine,Domain (2012),Strand,7105.0,1.0,2810.0,1.0,http://www.boxofficemojo.com/movies/?id=domain(2012).htm,2012-01-13
domdura02akov,House of Fools,ParC,57862.0,8.0,7246.0,3.0,http://www.boxofficemojo.com/movies/?id=houseoffools.htm,2003-04-25
domesti01ance,Domestic Disturbance,Par.,45246095.0,2910.0,14033112.0,2910.0,http://www.boxofficemojo.com/movies/?id=domesticdisturbance.htm,2001-11-02
domhemi13gway,Dom Hemingway,FoxS,523511.0,129.0,29276.0,4.0,http://www.boxofficemojo.com/movies/?id=domhemingway.htm,2014-04-02
dominio05cist,Dominion: Prequel to the Exorcist,WB,251495.0,110.0,140703.0,110.0,http://www.boxofficemojo.com/movies/?id=dominionprequeltotheexorcist.htm,2005-05-20
domino05mino,Domino,NL,10169202.0,2223.0,4670120.0,2223.0,http://www.boxofficemojo.com/movies/?id=domino.htm,2005-10-14
domover12dman,The Last Sentence,MBox,62506.0,6.0,9020.0,2.0,http://www.boxofficemojo.com/movies/?id=thelastsentence.htm,2014-06-20
don211don2,Don 2,Relbig.,3680306.0,167.0,1673921.0,157.0,http://www.boxofficemojo.com/movies/?id=don2.htm,2011-12-22
doncarl08cala,Don Carlo at La Scala,Emr.,27834.0,5.0,27834.0,5.0,http://www.boxofficemojo.com/movies/?id=doncarloatlascala.htm,2008-12-05
dong-ch13aeng,Commitment,WGUSA,76543.0,22.0,,,http://www.boxofficemojo.com/movies/?id=commitment.htm,2013-12-06
dongju16ngju,DONGJU: The Portrait of a Poet,CJ,56184.0,5.0,17724.0,5.0,http://www.boxofficemojo.com/movies/?id=dongjutheportraitofapoet.htm,2016-04-01
doni06doni,Don,UTV,2223961.0,113.0,804388.0,113.0,http://www.boxofficemojo.com/movies/?id=don.htm,2006-10-20
donjon13njon,Don Jon,Rela.,24477704.0,2422.0,8677009.0,2422.0,http://www.boxofficemojo.com/movies/?id=donjon.htm,2013-09-27
