key,title,year,opening_date,releasemonth,releaseweekday,releaseweeknumber,total_gross,adjusted_gross,nVotes,userscore,metascore,metacritic_user_score,studio,total_theaters,opening_gross,adjusted_opening_gross,opening_theaters,vote_distribution,metatitle,metayear,imdbtitle,imdbyear,cpimultiplier
cottonm99mary,Cotton Mary,2000,3/15/00,March,Wednesday,11,299432,413686.646,416,5.4,52, ,AL,4,24680,34097.17874,4,1111000,Cotton Mary,2000,Cotton Mary,1999,1.381571262
erinbro00vich,Erin Brockovich,2000,3/17/00,March,Friday,11,125595205,173518725.8,132853,7.3,73,8.2,Uni.,3070,28138465,38875294.59,2848,13210,Erin Brockovich,2000,Erin Brockovich,2000,1.381571262
finalde00tion,Final Destination,2000,3/17/00,March,Friday,11,53331147,73680780.05,177905,6.7,36,8.8,NL,2587,10015822,13837571.84,2587,23100,Final Destination,2000,Final Destination,2000,1.381571262
softfru99ruit,Soft Fruit,2000,3/17/00,March,Friday,11,13654,18863.97401,472,6.7,56,6.6,FoxS,1, , , ,12111,Soft Fruit,2000,Soft Fruit,1999,1.381571262
winters97afer,Winter Sleepers,2000,3/17/00,March,Friday,11,323041,446304.1619,3876,7.3,68,7.2,Wins.,3,21818,30143.12179,3,12211,Winter Sleepers,2000,Winterschläfer,1997,1.381571262
romeomu00tdie,Romeo Must Die,2000,3/22/00,March,Wednesday,12,55973336,77331152.44,56430,6.1,52,7.1,WB,2641,18014503,24888319.64,2641,122100,Romeo Must Die,2000,Romeo Must Die,2000,1.381571262
wakingt00dead,Waking the Dead,2000,3/22/00,March,Wednesday,12,270745,374053.5112,5915,6.7,59,8.7,USA,62,150422,207818.7123,62,12111,Waking the Dead,2000,Waking the Dead,2000,1.381571262
buddybo99yboy,Buddy Boy,2000,3/24/00,March,Friday,12,12597,17403.65318,872,6.4,36,7.5,FL,3,3651,5044.116676,2,11111,Buddy Boy,2000,Buddy Boy,1999,1.381571262
hereone00arth,Here on Earth,2000,3/24/00,March,Friday,12,10522168,14537124.92,7316,5.1,25,8.2,Fox,1713,4510705,6231860.398,1712,1111000,Here on Earth,2000,Here on Earth,2000,1.381571262
strike!98ike!,All I Wanna Do,2000,3/24/00,March,Friday,12,5838,8065.613026,5529,6.7,60,8.3,Red.,1,3799,5248.589223,1,12101,All I Wanna Do,2000,Strike!,1998,1.381571262
