key,bechdel-rating,imdb-id,imdb-url,title,metatitle,metayear,imdbtitle,imdbyear,releaseyear,releasemonth,releaseday,opening_date,releaseweekday,releaseweeknumber,totalgross,adjustedgross,nVotes,imdbrating,metascore,rank_in_year,studio,totaltheaters,mpaa,budget,country,language,nGenres,Western,History,Documentary,Musical,War,Biography,RealityTV,Drama,Animation,Music,Mystery,Crime,Thriller,News,SciFi,Action,Sport,Comedy,Romance,Adventure,Family,TalkShow,Horror,openinggross,adjustedopeninggross,openingtheaters,vote_distribution,boxofficemojo_url,metacritic_url,meta_retrieved,cpimultiplier,sourcedataset
miele13iele,#N/A,,,Honey,Honey,2014,Miele,2013,2003,December,5,12/5/2003,Friday,49,30308417,39703861.82,1493,6.8,75,105,Uni.,1972,,1833231,Italy,Italian,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12856040,16841342.64,1942,23200,http://www.boxofficemojo.com/movies/?id=honey.htm,http://www.metacritic.com/movie/honey,5/9/2017,1.309994574,Metacritic
miesvai02ytta,#N/A,,,The Man Without a Past,The Man Without a Past,2003,Mies vailla menneisyyttä,2002,2003,April,4,4/4/2003,Friday,14,921847,1210899.7,18281,7.7,84,15,SPC,31,PG-13,1600000,Finland,Finnish,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,23281,30580.94881,2,2311,http://www.boxofficemojo.com/movies/?id=themanwithoutapast.htm,http://www.metacritic.com/movie/the man without a past,5/9/2017,1.313558215,Metacritic
mifune:15urai,#N/A,,,Mifune: The Last Samurai,Mifune: The Last Samurai,2016,Mifune: The Last Samurai,2015,2016,November,25,11/25/2016,Friday,48,62279,62299.38525,168,7.5,64,305,Strand,9,,-1,Japan,English,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4296,4297.406173,1,0.00012301,http://www.boxofficemojo.com/movies/?id=mifunethelastsamurai.htm,http://www.metacritic.com/movie/mifune: the last samurai,5/9/2017,1.000327321,Metacritic
mifunes99sang,#N/A,,,Mifune,Mifune's Last Song,2000,Mifunes sidste sang,1999,2000,February,25,2/25/2000,Friday,8,512434,728609.9263,6886,7.2,57,161,SPC,34,R,-1,Denmark,Danish,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,44137,62756.67953,12,12210,http://www.boxofficemojo.com/movies/?id=mifune.htm,http://www.metacritic.com/movie/mifune's last song,5/9/2017,1.421861013,Metacritic
mightyh07eart,#N/A,,,A Mighty Heart,A Mighty Heart,2007,A Mighty Heart,2007,2007,June,22,6/22/2007,Friday,25,9176787,10633783.4,24680,6.7,74,72,ParV,1355,R,16000000,USA,English,5,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3948863,4575823.087,1355,22100,http://www.boxofficemojo.com/movies/?id=amightyheart.htm,http://www.metacritic.com/movie/a mighty heart,5/9/2017,1.158769774,Metacritic
mightym09macs,#N/A,,,The Mighty Macs,The Mighty Macs,2011,The Mighty Macs,2009,2011,October,21,10/21/2011,Friday,42,1891936,2017365.405,1159,6.5,49,,QM,975,,7000000,USA,English,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,963221,1027079.522,975,111101,http://www.boxofficemojo.com/movies/?id=themightymacs.htm,http://www.metacritic.com/movie/the mighty macs,6/14/2017,1.066296854,Metacritic
mightyw03wind,#N/A,,,A Mighty Wind,A Mighty Wind,2003,A Mighty Wind,2003,2003,April,16,4/16/2003,Wednesday,16,17781006,23356386.51,22983,7.3,81,27,WB,770,PG-13,-1,USA,English,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2112140,2774418.849,133,12211,http://www.boxofficemojo.com/movies/?id=amightywind.htm,http://www.metacritic.com/movie/a mighty wind,5/9/2017,1.313558215,Metacritic
mikeand16ates,3,2823054,http://www.imdb.com/title/tt2823054/,Mike and Dave Need Wedding Dates,Mike and Dave Need Wedding Dates,2016,Mike and Dave Need Wedding Dates,2016,2016,July,8,7/8/2016,Friday,28,46009673,46163403.14,52064,6,51,445,Fox,3008,R,33000000,USA,English,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,16628170,16683728.99,2982,122100,http://www.boxofficemojo.com/movies/?id=mikeanddaveneedweddingdates.htm,http://www.metacritic.com/movie/mike and dave need wedding dates,5/9/2017,1.003341257,Metacritic
milarep06repa,#N/A,,,Milarepa,Milarepa,2007,Milarepa,2006,2007,September,7,9/7/2007,Friday,36,151114,174990.4324,748,7.1,52,301,LVR,13,,1800000,Bhutan,Tibetan,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8330,9646.163173,1,12111,http://www.boxofficemojo.com/movies/?id=milarepa.htm,http://www.metacritic.com/movie/milarepa,5/9/2017,1.158002782,Metacritic
milesah15head,0,790770,http://www.imdb.com/title/tt790770/,Miles Ahead,Miles Ahead,2016,Miles Ahead,2015,2016,April,1,4/1/2016,Friday,14,2610896,2634586.678,6510,6.4,64,297,SPC,527,R,-1,USA,English,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,114530,115569.2192,4,123100,http://www.boxofficemojo.com/movies/?id=milesahead.htm,http://www.metacritic.com/movie/miles ahead,5/9/2017,1.009073773,Metacritic
