key,title,metatitle,metayear,imdbtitle,imdbyear,releaseyear,releasemonth,releaseday,opening_date,releaseweekday,releaseweeknumber,totalgross,adjustedgross,nVotes,imdbrating,metascore,rank_in_year,studio,totaltheaters,mpaa,budget,country,language,nGenres,Western,History,Documentary,Musical,War,Biography,RealityTV,Drama,Animation,Music,Mystery,Crime,Thriller,News,SciFi,Action,Sport,Comedy,Romance,Adventure,Family,TalkShow,Horror,openinggross,adjustedopeninggross,openingtheaters,vote_distribution,boxofficemojo_url,metacritic_url,meta_retrieved,cpimultiplier,sourcedataset
dolphin14ale2,Dolphin Tale 2,Dolphin Tale 2,2014,Dolphin Tale 2,2014,2014,September,12,9/12/2014,Friday,37,42024533,42624981.8353744,6501,6.4,58,318,WB,3656,PG,36000000,USA,English,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15873397,16100196.9680588,3656,0000022101,http://www.boxofficemojo.com/movies/?id=dolphintale2.htm,http://www.metacritic.com/movie/dolphin tale 2,5/9/2017,1.01428805491722,Metacritic
domaine09aine,Domain (2012),Domain,2012,Domaine,2009,2012,January,13,1/13/2012,Friday,2,7105,7567.88370502724,123,5.8,64,216,Strand,1, ,-1,France,French,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2810,2993.06871374054,1,0001111000,http://www.boxofficemojo.com/movies/?id=domain(2012).htm,http://www.metacritic.com/movie/domain,5/9/2017,1.06514900844859,Metacritic
domdura02akov,House of Fools,House of Fools,2003,Dom durakov,2002,2003,April,25,4/25/2003,Friday,17,57862,76005.1054624592,2374,7.2,52, ,ParC,8,R,2500000,Russia,Chechen,4,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7246,9518.04282916213,3,0000012211,http://www.boxofficemojo.com/movies/?id=houseoffools.htm,http://www.metacritic.com/movie/house of fools,6/12/2017,1.31355821545158,Metacritic
domesti01ance,Domestic Disturbance,Domestic Disturbance,2001,Domestic Disturbance,2001,2001,November,2,11/2/2001,Friday,44,45246095,61577537.8130778,21874,5.5,29,348,Par.,2910,PG-13,75000000,USA,English,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,14033112,19098321.8510936,2910,0001221000,http://www.boxofficemojo.com/movies/?id=domesticdisturbance.htm,http://www.metacritic.com/movie/domestic disturbance,5/9/2017,1.36094701240135,Metacritic
domhemi13gway,Dom Hemingway,Dom Hemingway,2014,Dom Hemingway,2013,2014,April,2,4/2/2014,Wednesday,14,523511,533138.910339475,22404,6.2,55,360,FoxS,129,R,-1,UK,English,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,29276,29814.4160086387,4,0000122100,http://www.boxofficemojo.com/movies/?id=domhemingway.htm,http://www.metacritic.com/movie/dom hemingway,5/9/2017,1.01839103732199,Metacritic
dominio05cist,Dominion: Prequel to the Exorcist,Dominion: Prequel to the Exorcist,2005,Dominion: Prequel to the Exorcist,2005,2005,May,20,5/20/2005,Friday,20,251495,312340.230658436,8443,5.3,55,311,WB,110,R,30000000,USA,English,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,140703,174743.861604938,110,0001221000,http://www.boxofficemojo.com/movies/?id=dominionprequeltotheexorcist.htm,http://www.metacritic.com/movie/dominion: prequel to the exorcist,5/9/2017,1.2419341563786,Metacritic
domino05mino,Domino,Domino,2005,Domino,2005,2005,October,14,10/14/2005,Friday,41,10169202,12325154.5043374,59309,6,36,456,NL,2223,R,50000000,France,English,5,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,4670120,5660222.95100402,2223,0000122100,http://www.boxofficemojo.com/movies/?id=domino.htm,http://www.metacritic.com/movie/domino,5/9/2017,1.21200803212851,Metacritic
domover12dman,The Last Sentence,The Last Sentence,2014,Dom över död man,2012,2014,June,20,6/20/2014,Friday,25,62506,63316.0973554919,520,6.1,60,302,MBox,6, ,-1,Sweden,Swedish,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9020,9136.90202774992,2,0000121100,http://www.boxofficemojo.com/movies/?id=thelastsentence.htm,http://www.metacritic.com/movie/the last sentence,5/9/2017,1.01296031349777,Metacritic
don'tbl15rank,Don't Blink - Robert Frank,Don't Blink - Robert Frank,2016,Don't Blink - Robert Frank,2015,2016,July,15,7/15/2016,Friday,29,76134,76388.3832637931,108,7,75,109,Ghop,4, ,-1,Canada,English,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10382,10416.6889306315,1,0000012201,http://www.boxofficemojo.com/movies/?id=dontblink-robertfrank.htm,http://www.metacritic.com/movie/don't blink - robert frank,5/9/2017,1.00334125704407,Metacritic
don'tbr16athe,Don't Breathe,Don't Breathe,2016,Don't Breathe,2016,2016,August,26,8/26/2016,Friday,35,89217875,89433836.1255392,117979,7.2,71,196,SGem,3384,R,9900000,USA,English,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,26411706,26475638.2754008,3051,0000013200,http://www.boxofficemojo.com/movies/?id=dontbreathe.htm,http://www.metacritic.com/movie/don't breathe,5/9/2017,1.00242060378079,Metacritic
don'tco05king,Don't Come Knocking,Don't Come Knocking,2006,Don't Come Knocking,2005,2006,March,17,3/17/2006,Friday,11,440793,532640.318198198,6617,6.7,55,310,SPC,32,R,11000000,UK,English,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30630,37012.3231231231,6,0000012200,http://www.boxofficemojo.com/movies/?id=dontcomeknocking.htm,http://www.metacritic.com/movie/don't come knocking,5/9/2017,1.20836836836837,Metacritic
