key,title,releaseyear,opening_date,releasemonth,releaseweekday,releaseweeknumber,totalgross,adjustedgross,nVotes,imdbrating,metascore,mpaa,budget,country,language,Western,History,Documentary,Musical,War,Biography,RealityTV,Drama,Animation,Music,Mystery,Crime,Thriller,News,SciFi,Action,Sport,Comedy,Romance,Adventure,Family,TalkShow,Horror,studio,totaltheaters,openinggross,adjustedopeninggross,openingtheaters,vote_distribution,metatitle,metayear,imdbtitle,imdbyear,cpimultiplier,sourcedataset,adjustedgrossbinned,nvotes_binned,dumpmonth
tiggerm00ovie,The Tigger Movie,2000,2/11/2000,February,Friday,6,45554533,64772214.4361366,13948,6.3,53, ,30000000,USA,English,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,BV,2818,9427532,13404640.1991991,2723,0000122100,The Tigger Movie,2000,The Tigger Movie,2000,1.42186101295642,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
beautif99ople,Beautiful People,2000,2/18/2000,February,Friday,7,264292,375786.490836278,2237,6.7,79,R,-1,UK,English,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Trim.,26,13987,19887.5699882214,1,0000012210,Beautiful People,2000,Beautiful People,1999,1.42186101295642,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
boilerr00room,Boiler Room,2000,2/18/2000,February,Friday,7,16970581,24129807.491119,42907,7,63,R,7000000,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NL,1335,5742129,8164509.35646643,1335,0000013200,Boiler Room,2000,Boiler Room,2000,1.42186101295642,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
hanging00ngup,Hanging Up,2000,2/18/2000,February,Friday,7,36050230,51258416.5451119,10477,4.7,33,PG-13,60000000,Germany,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sony,2618,13567978,19291778.9428504,2618,0011210000,Hanging Up,2000,Hanging Up,2000,1.42186101295642,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
kadosh99dosh,Kadosh,2000,2/18/2000,February,Friday,7,736812,1047644.25667845,1586,6.8,70, ,-1,Israel,Hebrew,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kino,16,46204,65695.6662426384,12,0000012200,Kadosh,2000,Kadosh,1999,1.42186101295642,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
pitchbl00lack,Pitch Black,2000,2/18/2000,February,Friday,7,39240659,55794763.1548174,200239,7.1,49,R,23000000,USA,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,USA,1930,11577688,16461863.1873734,1832,0000013200,Pitch Black,2000,Pitch Black,2000,1.42186101295642,Metacritic,$10-100 million,"More than 100,000 votes",Dump month
wholeni00ards,The Whole Nine Yards,2000,2/18/2000,February,Friday,7,57262492,81419304.8795289,93443,6.7,47, ,41300000,USA,English,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,WB,2910,13731070,19523673.0991755,2910,0000023100,The Whole Nine Yards,2000,The Whole Nine Yards,2000,1.42186101295642,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
yigedou99shao,Not One Less,2000,2/18/2000,February,Friday,7,592586,842574.930223793,7023,7.8,73, ,-1,China,Mandarin,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SPC,24,50256,71457.0470671378,6,0000002311,Not One Less,2000,Yi ge dou bu neng shao,1999,1.42186101295642,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
wonderb00boys,Wonder Boys,2000,2/23/2000,February,Wednesday,8,19393557,27574942.6008481,56032,7.4,73,R,55000000,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Par.,1509,5808919,8259475.45352179,1253,0000012211,Wonder Boys,2000,Wonder Boys,2000,1.42186101295642,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
claired98olan,Claire Dolan,2000,2/25/2000,February,Friday,8,9480,13479.2424028269,1145,6.8,56, ,-1,USA,French,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYer, , , , ,0000012100,Claire Dolan,2000,Claire Dolan,1998,1.42186101295642,Metacritic,"Less than $100,000","1,001-10,000 votes",Dump month
