key,title,metatitle,imdbtitle,releaseyear,releasemonth,releaseday,opening_date,releaseweekday,releaseweeknumber,totalgross,adjustedgross,nVotes,imdbrating,metascore,rank_in_year,studio,totaltheaters,mpaa,budget,country,language,Western,History,Documentary,Musical,War,Biography,RealityTV,Drama,Animation,Music,Mystery,Crime,Thriller,News,SciFi,Action,Sport,Comedy,Romance,Adventure,Family,TalkShow,Horror,openinggross,adjustedopeninggross,openingtheaters,vote_distribution,metayear,imdbyear,cpimultiplier,sourcedataset,adjustedgrossbinned,nvotes_binned,dumpmonth
wholeni00ards,The Whole Nine Yards,The Whole Nine Yards,The Whole Nine Yards,2000,February,18,2/18/2000,Friday,7,57262492,81419304.8795289,93443,6.7,47,222,WB,2910, ,41300000,USA,English,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,13731070,19523673.0991755,2910,0000023100,2000,2000,1.42186101295642,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
yigedou99shao,Not One Less,Not One Less,Yi ge dou bu neng shao,2000,February,18,2/18/2000,Friday,7,592586,842574.930223793,7023,7.8,73,74,SPC,24, ,-1,China,Mandarin,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50256,71457.0470671378,6,0000002311,2000,1999,1.42186101295642,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
wonderb00boys,Wonder Boys,Wonder Boys,Wonder Boys,2000,February,23,2/23/2000,Wednesday,8,19393557,27574942.6008481,56032,7.4,73,73,Par.,1509,R,55000000,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5808919,8259475.45352179,1253,0000012211,2000,2000,1.42186101295642,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
claired98olan,Claire Dolan,Claire Dolan,Claire Dolan,2000,February,25,2/25/2000,Friday,8,9480,13479.2424028269,1145,6.8,56,173,NYer, , ,-1,USA,French,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0000012100,2000,1998,1.42186101295642,Metacritic,"Less than $100,000","1,001-10,000 votes",Dump month
closery00uget,The Closer You Get,The Closer You Get,The Closer You Get,2000,February,25,2/25/2000,Friday,8,164927,234503.271283863,1267,6.4,44,246,FoxS,30,PG-13,-1,UK,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43307,61576.5348881036,10,0000122100,2000,2000,1.42186101295642,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
judyber99rlin,Judy Berlin,Judy Berlin,Judy Berlin,2000,February,25,2/25/2000,Friday,8,61236,87069.0809893993,925,6.8,74,58,Shoot.,19, ,-1,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,61236,87069.0809893993,19,0000011111,2000,1999,1.42186101295642,Metacritic,"Less than $100,000","101-1,000 votes",Dump month
mifunes99sang,Mifune,Mifune's Last Song,Mifunes sidste sang,2000,February,25,2/25/2000,Friday,8,512434,728609.92631331,6886,7.2,57,161,SPC,34,R,-1,Denmark,Danish,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,44137,62756.6795288575,12,0000012210,2000,1999,1.42186101295642,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
reindee00ames,Reindeer Games,Reindeer Games,Reindeer Games,2000,February,25,2/25/2000,Friday,8,23368995,33227462.9024735,32462,5.7,37,280,Mira.,2204,R,42000000,USA,English,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,8128356,11557392.4958304,2204,0000121000,2000,2000,1.42186101295642,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
3strike00ikes,3 Strikes,3 Strikes,3 Strikes,2000,March,1,3/1/2000,Wednesday,9,9832166,13865651.2950467,1463,4,11,359,MGM,678, ,3400000,USA,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3684704,5196293.55214953,678,1011110000,2000,2000,1.41023364485981,Metacritic,$10-100 million,"1,001-10,000 votes",Dump month
drownin00mona,Drowning Mona,Drowning Mona,Drowning Mona,2000,March,3,3/3/2000,Friday,9,15506764,21868160.3157009,12045,5.6,25,331,Dest.,1981,PG-13,6000000,USA,English,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,5802229,8182498.55098131,1981,0000121100,2000,2000,1.41023364485981,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
nextbig01hing,The Next Best Thing,The Next Big Thing,The Next Big Thing,2000,March,3,3/3/2000,Friday,9,14990582,21140223.0924299,183,6,47,303,Par.,2035,R,1500000,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5870387,8278617.25574766,2007,0000121000,2002,2001,1.41023364485981,Metacritic,$10-100 million,"101-1,000 votes",Dump month
whatpla00rom?,What Planet Are You From?,What Planet Are You From?,What Planet Are You From?,2000,March,3,3/3/2000,Friday,9,6291602,8872628.82046729,8259,5.6,41,264,Sony,2248,R,60000000,USA,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3008746,4243034.83803738,2248,0001121000,2000,2000,1.41023364485981,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
deterre99ence,Deterrence,Deterrence,Deterrence,2000,March,10,3/10/2000,Friday,10,145071,204584.005093458,2337,6.5,50,208,ParC,17, ,800000,France,English,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23318,32883.8281308411,7,0000112100,2000,1999,1.41023364485981,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
ekkusu96kusu,X,X,Ekkusu,2000,March,10,3/10/2000,Friday,10,143355,202164.044158879,2190,6.2,40,265,Mng,1,R,-1,Japan,Japanese,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6672,9409.07887850467,1,0000112101,2000,1996,1.41023364485981,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
god'sar00army,God's Army,God's Army,God's Army,2000,March,10,3/10/2000,Friday,10,2637726,3719809.9511215,905,6.6,38,276,Zion,50,PG,300000,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115642,163082.239158879,18,0000011111,2000,2000,1.41023364485981,Metacritic,"$100,000 to $10 million","101-1,000 votes",Dump month
