key,originalorder,title,studio,totalgross,totaltheaters,openinggross,openingtheaters,opening_year,opening_month,opening_day,boxofficemojo_url
monster09iens,5233,Monsters Vs. Aliens,P/DW,"$198,351,526","4,136","$59,321,095","4,104",2009,3,27,http://www.boxofficemojo.com/movies/?id=monstersvs.aliens.htm
monster10ters,5230,Monsters,Magn.,"$237,301",25,"$20,508",3,2010,10,29,http://www.boxofficemojo.com/movies/?id=monsters.htm
monster13sity,5232,Monsters University,BV,"$268,492,764","4,004","$82,429,469","4,004",2013,6,21,http://www.boxofficemojo.com/movies/?id=monstersuniversity.htm
monster14nent,5236,Monsters: Dark Continent,RTWC,,,,,2015,4,17,http://www.boxofficemojo.com/movies/?id=monstersdarkcontinent.htm
monster16alls,273,A Monster Calls,Focus,"$3,740,823","1,523","$30,909",4,2016,12,23,http://www.boxofficemojo.com/movies/?id=amonstercalls.htm
monster16ster,8513,The Monster (2016),A24,"$12,544",18,"$6,624",18,2016,11,11,http://www.boxofficemojo.com/movies/?id=themonster(2016).htm
monteca11arlo,5237,Monte Carlo,Fox,"$23,186,769","2,473","$7,453,944","2,473",2011,7,1,http://www.boxofficemojo.com/movies/?id=montecarlo.htm
monumen04rica,5239,Monumental,FRun,"$1,430",1,$842,1,2005,7,22,http://www.boxofficemojo.com/movies/?id=monumental.htm
monumen12sure,5240,Monumental: In Search of America's National Treasure,AAE,"$177,729",27,"$28,340",6,2012,3,30,http://www.boxofficemojo.com/movies/?id=monumentalinsearchofamericasnationaltreasure.htm
monumen14smen,8514,The Monuments Men,Sony,"$78,031,620","3,083","$22,003,433","3,083",2014,2,7,http://www.boxofficemojo.com/movies/?id=themonumentsmen.htm
moog04moog,5242,Moog,Plx.,"$3,604",1,"$2,227",1,2004,9,24,http://www.boxofficemojo.com/movies/?id=moog.htm
moolaad04aade,5243,Moolaade,NYer,"$215,646",4,"$11,982",2,2004,10,15,http://www.boxofficemojo.com/movies/?id=moolaade.htm
moon09moon,5244,Moon,SPC,"$5,010,163",252,"$136,046",8,2009,6,12,http://www.boxofficemojo.com/movies/?id=moon.htm
moondan07nder,5245,Moondance Alexander,RM,"$37,895",14,"$17,427",14,2007,10,19,http://www.boxofficemojo.com/movies/?id=moondancealexander.htm
moonlig02ight,5246,Moonlight,Indic.,"$51,570",2,"$7,126",2,2006,5,19,http://www.boxofficemojo.com/movies/?id=moonlight.htm
moonlig02mile,5248,Moonlight Mile,BV,"$6,835,856",437,"$329,771",22,2002,9,27,http://www.boxofficemojo.com/movies/?id=moonlightmile.htm
moonlig16ghti,5247,Moonlight (2016),A24,"$27,854,932","1,564","$402,075",4,2016,10,21,http://www.boxofficemojo.com/movies/?id=moonlight(2016).htm
moonris12gdom,5249,Moonrise Kingdom,Focus,"$45,512,466",924,"$522,996",4,2012,5,25,http://www.boxofficemojo.com/movies/?id=moonrisekingdom.htm
moonwal15kers,5250,Moonwalkers,Alc,,,,,2016,1,15,http://www.boxofficemojo.com/movies/?id=moonwalkers.htm
mooz-lu10-lum,5251,Mooz-lum,PF,"$369,129",21,"$139,835",11,2011,2,11,http://www.boxofficemojo.com/movies/?id=mooz-lum.htm
moretha08game,5252,More Than a Game,LGF,"$950,675",111,"$182,943",14,2009,10,2,http://www.boxofficemojo.com/movies/?id=morethanagame.htm
moretha12nbow,5254,More Than the Rainbow,FRun,"$1,677",1,"$1,082",1,2014,5,2,http://www.boxofficemojo.com/movies/?id=morethantherainbow.htm
moretha12oney,5253,More Than Honey,KL,"$79,772",7,"$5,225",1,2013,6,12,http://www.boxofficemojo.com/movies/?id=morethanhoney.htm
morgan16rgan,5255,Morgan,Fox,"$3,915,251","2,020","$2,012,709","2,020",2016,9,2,http://www.boxofficemojo.com/movies/?id=morgan.htm
morirse07breo,5385,My Mexican Shivah,Emr.,"$13,042",1,"$6,100",1,2008,8,29,http://www.boxofficemojo.com/movies/?id=mymexicanshivah.htm
morlang01lang,5256,Moriang,FM,,,,,2004,4,16,http://www.boxofficemojo.com/movies/?id=moriang.htm
morning08ight,5259,Morning Light,BV,"$275,497",55,"$129,295",55,2008,10,17,http://www.boxofficemojo.com/movies/?id=morninglight.htm
morning10lory,5258,Morning Glory,Par.,"$31,011,732","2,544","$9,203,266","2,518",2010,11,10,http://www.boxofficemojo.com/movies/?id=morningglory.htm
morning10ngii,5257,Morning,Anch.,"$4,029",4,"$2,876",4,2013,9,27,http://www.boxofficemojo.com/movies/?id=morning.htm
morrerc09omem,9289,To Die Like a Man,Strand,"$4,029",1,"$2,346",1,2011,4,8,http://www.boxofficemojo.com/movies/?id=todielikeaman.htm
morrisf16rica,5260,Morris from America,A24,"$91,151",20,"$15,673",2,2016,8,19,http://www.boxofficemojo.com/movies/?id=morrisfromamerica.htm
mortali13ones,8515,The Mortal Instruments: City of Bones,SGem,"$31,165,421","3,118","$9,336,957","3,118",2013,8,21,http://www.boxofficemojo.com/movies/?id=themortalinstrumentscityofbones.htm
mortdec15ecai,5261,Mortdecai,LGF,"$7,696,134","2,648","$4,200,586","2,648",2015,1,23,http://www.boxofficemojo.com/movies/?id=mortdecai.htm
morvern02llar,5262,Morvern Callar,Cow.,"$267,907",9,"$13,836",3,2002,12,20,http://www.boxofficemojo.com/movies/?id=morverncallar.htm
mosquit12mari,5264,Mosquita y Mari,TFC,"$8,614",1,"$5,070",1,2012,8,3,http://www.boxofficemojo.com/movies/?id=mosquitaymari.htm
mostdan09pers,8516,The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,FRun,"$453,650",12,"$1,114",1,2010,1,29,http://www.boxofficemojo.com/movies/?id=themostdangerousmaninamericadanielellsbergandthepentagonpapers.htm
mostlyu05reen,8517,The Mostly Unfabulous Social Life of Ethan Green,Reg.,"$153,122",7,"$11,002",2,2006,6,16,http://www.boxofficemojo.com/movies/?id=themostlyunfabuloussociallifeofethangreen.htm
mostvio14year,275,A Most Violent Year,A24,"$5,749,134",818,"$172,788",4,2014,12,31,http://www.boxofficemojo.com/movies/?id=amostviolentyear.htm
mostwan14dman,276,A Most Wanted Man,RAtt.,"$17,237,855",801,"$2,687,227",361,2014,7,25,http://www.boxofficemojo.com/movies/?id=amostwantedman.htm
motel05otel,8518,The Motel,Palm,"$51,540",4,"$7,100",1,2006,6,28,http://www.boxofficemojo.com/movies/?id=themotel.htm
mothdia11ries,8519,The Moth Diaries,IFC,"$3,838",2,"$2,276",2,2012,4,20,http://www.boxofficemojo.com/movies/?id=themothdiaries.htm
mother03ther,8520,The Mother,SPC,"$1,063,163",44,"$61,913",7,2004,5,28,http://www.boxofficemojo.com/movies/?id=themother.htm
mother'16dayi,5272,Mother's Day,ORF,"$32,492,859","3,291","$8,369,184","3,035",2016,4,29,http://www.boxofficemojo.com/movies/?id=mothersday.htm
mothera09hild,5268,Mother and Child,SPC,"$1,110,509",119,"$43,040",4,2010,5,7,http://www.boxofficemojo.com/movies/?id=motherandchild.htm
motherh09oodi,5271,Motherhood,Free,"$93,388",48,"$50,081",48,2009,10,23,http://www.boxofficemojo.com/movies/?id=motherhood.htm
mothero13orge,5269,Mother of George,Osci.,"$157,937",8,"$22,500",1,2013,9,13,http://www.boxofficemojo.com/movies/?id=motherofgeorge.htm
mothman02cies,8521,The Mothman Prophecies,SGem,"$35,746,370","2,331","$11,208,851","2,331",2002,1,25,http://www.boxofficemojo.com/movies/?id=themothmanprophecies.htm
motocro04kids,5273,Moto X Kids,Tag,"$2,462",5,"$2,462",5,2004,1,30,http://www.boxofficemojo.com/movies/?id=motoxkids.htm
mougaan02ndou,3909,Infernal Affairs,Mira.,"$169,659",5,"$25,680",5,2004,9,24,http://www.boxofficemojo.com/movies/?id=infernalaffairs.htm
moulinr01uge!,5274,Moulin Rouge!,Fox,"$57,386,607","2,283","$167,540",2,2001,5,18,http://www.boxofficemojo.com/movies/?id=moulinrouge!.htm
mouthto05outh,5277,Mouth to Mouth,AL,"$2,150",1,"$1,406",1,2006,5,19,http://www.boxofficemojo.com/movies/?id=mouthtomouth.htm
movie4313ie43,5278,Movie 43,Rela.,"$8,840,453","2,023","$4,805,878","2,023",2013,1,25,http://www.boxofficemojo.com/movies/?id=movie43.htm
movingm07dway,5280,Moving Midway,FRun,"$40,864",4,"$6,539",2,2008,9,12,http://www.boxofficemojo.com/movies/?id=movingmidway.htm
movingm07ster,5279,Moving McAllister,FInd.,"$42,538",86,"$28,665",86,2007,9,14,http://www.boxofficemojo.com/movies/?id=movingmcallister.htm
mozarta05hale,5281,Mozart and the Whale,Mill.,"$36,006",5,"$19,610",5,2006,4,14,http://www.boxofficemojo.com/movies/?id=mozartandthewhale.htm
mr.&mrs05mith,5283,Mr. & Mrs. Smith,Fox,"$186,336,279","3,451","$50,342,878","3,424",2005,6,10,http://www.boxofficemojo.com/movies/?id=mr.&mrs.smith.htm
mr.bean07iday,5285,Mr. Bean's Holiday,Uni.,"$33,302,167","1,778","$9,889,780","1,714",2007,8,24,http://www.boxofficemojo.com/movies/?id=mr.beansholiday.htm
mr.blue07esky,5286,Mr. Blue Sky,RM,"$5,713",1,"$3,714",1,2007,11,9,http://www.boxofficemojo.com/movies/?id=mr.bluesky.htm
mr.broo07ooks,5287,Mr. Brooks,MGM,"$28,549,298","2,453","$10,017,067","2,453",2007,6,1,http://www.boxofficemojo.com/movies/?id=mr.brooks.htm
mr.chur16urch,5288,Mr. Church,Free,"$685,780",354,"$338,551",354,2016,9,16,http://www.boxofficemojo.com/movies/?id=mr.church.htm
mr.deed02eeds,5289,Mr. Deeds,Sony,"$126,293,452","3,239","$37,162,787","3,231",2002,6,28,http://www.boxofficemojo.com/movies/?id=mr.deeds.htm
mr.donk16nkey,5290,Mr. Donkey,CL,"$356,255",27,"$86,931",20,2016,10,28,http://www.boxofficemojo.com/movies/?id=mr.donkey.htm
mr.holm15lmes,5291,Mr. Holmes,RAtt.,"$17,737,646",898,"$2,434,908",361,2015,7,17,http://www.boxofficemojo.com/movies/?id=mr.holmes.htm
mr.leat04ther,5292,Mr. Leather,Reg.,,,,,2006,12,8,http://www.boxofficemojo.com/movies/?id=mr.leather.htm
mr.mago07rium,5293,Mr. Magorium's Wonder Emporium,Fox,"$32,061,555","3,168","$9,630,085","3,164",2007,11,16,http://www.boxofficemojo.com/movies/?id=mr.magoriumswonderemporium.htm
mr.peab14rman,5295,Mr. Peabody & Sherman,Fox,"$111,506,430","3,951","$32,207,057","3,934",2014,3,7,http://www.boxofficemojo.com/movies/?id=mr.peabody&sherman.htm
mr.pip12.pip,5296,Mr. Pip,Free,"$1,714",10,"$1,714",10,2014,11,7,http://www.boxofficemojo.com/movies/?id=mr.pip.htm
mr.popp11uins,5297,Mr. Popper's Penguins,Fox,"$68,224,452","3,342","$18,445,355","3,339",2011,6,17,http://www.boxofficemojo.com/movies/?id=mr.popperspenguins.htm
mr.righ15ghti,5298,Mr. Right,FCW,"$34,694",35,"$25,369",35,2016,4,8,http://www.boxofficemojo.com/movies/?id=mr.right.htm
mr.smit02tler,5300,Mr. Smith Gets a Hustler,Outr.,"$1,915",1,"$1,583",1,2002,6,21,http://www.boxofficemojo.com/movies/?id=mr.smithgetsahustler.htm
mr.turn14rner,5301,Mr. Turner,SPC,"$3,958,500",120,"$109,000",5,2014,12,19,http://www.boxofficemojo.com/movies/?id=mr.turner.htm
mr.unto07able,5302,Mr. Untouchable,Magn.,"$104,678",26,"$48,280",26,2007,10,26,http://www.boxofficemojo.com/movies/?id=mr.untouchable.htm
mr.wood07cock,5303,Mr. Woodcock,NL,"$25,799,486","2,237","$8,761,369","2,231",2007,9,14,http://www.boxofficemojo.com/movies/?id=mr.woodcock.htm
mr.xi15r.xi,5304,Mr. X,FIP,"$44,995",52,"$30,097",52,2015,4,17,http://www.boxofficemojo.com/movies/?id=mr.x.htm
mr3000043000,5284,Mr. 3000,BV,"$21,811,187","2,736","$8,679,028","2,736",2004,9,17,http://www.boxofficemojo.com/movies/?id=mr.3000.htm
mrs.pal05mont,5307,Mrs. Palfrey at the Claremont,Cnv.,"$1,720,953",22,"$9,744",1,2005,11,25,http://www.boxofficemojo.com/movies/?id=mrs.palfreyattheclaremont.htm
mrshend05ents,5306,Mrs. Henderson Presents,Wein.,"$11,036,366",522,"$55,344",6,2005,12,9,http://www.boxofficemojo.com/movies/?id=mrs.hendersonpresents.htm
mryamis05miss,5305,Mr. Ya Miss,Kria,"$18,516",10,"$15,776",10,2005,12,2,http://www.boxofficemojo.com/movies/?id=mr.yamiss.htm
muahech00dung,9043,The Vertical Ray of the Sun,SPC,"$110,134",9,"$32,248",5,2001,7,6,http://www.boxofficemojo.com/movies/?id=theverticalrayofthesun.htm
muchado12ingi,5308,Much Ado About Nothing (2013),RAtt.,"$4,328,849",222,"$171,942",5,2013,6,7,http://www.boxofficemojo.com/movies/?id=muchadoaboutnothing(2013).htm
mud12mud,5309,Mud,RAtt.,"$21,590,086",960,"$2,215,891",363,2013,4,26,http://www.boxofficemojo.com/movies/?id=mud.htm
mudgebo03eboy,8523,The Mudge Boy,Strand,"$62,852",4,"$11,102",4,2004,5,7,http://www.boxofficemojo.com/movies/?id=themudgeboy.htm
mugabea09ican,5310,Mugabe and the White African,FRun,"$7,924",1,"$1,907",1,2010,7,23,http://www.boxofficemojo.com/movies/?id=mugabeandthewhiteafrican.htm
mugamoo12oodi,5311,Mugamoodi,UTV,"$100,809",21,"$55,501",21,2012,8,31,http://www.boxofficemojo.com/movies/?id=mugamoodi.htm
muhamma69test,5313,"Muhammad Ali, The Greatest",Fct.,"$20,073",1,"$5,093",1,2003,4,11,http://www.boxofficemojo.com/movies/?id=muhammadalithegreatest.htm
mujhses04rogi,5314,Mujhse Shaadi Karogi,Zee,"$915,728",48,"$379,812",47,2004,7,30,http://www.boxofficemojo.com/movies/?id=mujhseshaadikarogi.htm
mulholl01ddr.,5315,Mulholland Drive,Uni.,"$7,220,243",247,"$587,591",66,2001,10,8,http://www.boxofficemojo.com/movies/?id=mulhollanddrive.htm
multipl10asms,5316,Multiple Sarcasms,MAC,"$29,731",15,"$16,025",15,2010,5,7,http://www.boxofficemojo.com/movies/?id=multiplesarcasms.htm
mumbaim08jaan,5317,Mumbai Meri Jaan,UTV,"$16,407",8,"$13,588",8,2008,8,22,http://www.boxofficemojo.com/movies/?id=mumbaimerijaan.htm
mumia:l13nary,5318,Mumia: Long Distance Revolutionary,FRun,"$37,731",4,"$9,283",1,2013,2,1,http://www.boxofficemojo.com/movies/?id=mumialongdistancerevolutionary.htm
